label,group,nseqs,coverage,sobs,invsimpson,invsimpsonlci,invsimpsonhci,shannon,shannonlci,shannonhci
0.03,4KS104,45492,0.966917,4488,393.942295,383.041408,405.481808,7.083671,7.072612,7.094729
0.03,4KS105,45492,0.978809,3519,272.672896,264.745971,281.089162,6.798973,6.786469,6.811477
0.03,4KS106,45492,0.97138,4108,356.817625,347.559325,366.58267,6.962903,6.951328,6.974479
0.03,4KS201,45492,0.96894,4135,288.650861,280.382638,297.421545,6.867439,6.855013,6.879865
0.03,4KS202,45492,0.9563,5016,309.381346,299.431488,320.015183,7.078192,7.066083,7.0903
0.03,4KS203,45492,0.956652,4711,326.868839,317.774303,336.499274,6.967862,6.955923,6.9798
0.03,4KS204,45492,0.957355,4773,309.224077,300.318443,318.674028,6.979537,6.967286,6.991789
0.03,4KS205,45492,0.972611,3957,268.038651,260.322005,276.226757,6.834329,6.821516,6.847142
0.03,4KS206,45492,0.95918,4419,265.625976,257.548687,274.226311,6.843138,6.830446,6.85583
0.03,4KS301,45492,0.9583,4731,295.154192,286.865247,303.936408,6.944934,6.932367,6.957501
0.03,4KS302,45492,0.954234,5012,336.667878,327.229323,346.667093,7.048223,7.036329,7.060117
0.03,4KS303,45492,0.973094,3813,361.236308,352.555394,370.355512,6.883136,6.871751,6.894521
0.03,4KS304,45492,0.967884,4198,352.8328,343.969898,362.164514,6.936914,6.925292,6.948536
0.03,4KS305,45492,0.970852,3929,322.800095,314.3561,331.710243,6.862522,6.850618,6.874427
0.03,4KS306,45492,0.974963,3605,312.343837,304.468551,320.63734,6.782653,6.770736,6.794571
0.03,4KS401,45492,0.966653,4492,336.927908,327.407043,347.019083,7.025068,7.01318,7.036956
0.03,4KS402,45492,0.951816,5170,383.404674,372.835032,394.591087,7.113786,7.102537,7.125036
0.03,4KS403,45492,0.96573,4228,303.530167,295.202723,312.341071,6.879392,6.867166,6.891618
0.03,4KS404,45492,0.964565,4150,324.270359,316.163366,332.80405,6.851372,6.839453,6.86329
0.03,4KS405,45492,0.954761,4976,318.20086,308.270777,328.791977,7.031969,7.019911,7.044026
0.03,4KS406,45492,0.958212,4489,128.748674,123.54753,134.406983,6.664044,6.648622,6.679467
0.03,4KS501,45492,0.958982,4570,323.361575,314.955869,332.228256,6.923496,6.911413,6.935579
0.03,4KS502,45492,0.953992,4737,277.206988,268.202818,286.83674,6.906778,6.894295,6.919262
0.03,4KS503,45492,0.96795,4144,319.950541,311.090317,329.33026,6.898558,6.886624,6.910492
0.03,4KS504,45492,0.964675,4373,378.964351,369.205256,389.253372,6.995186,6.98393,7.006441
0.03,4KS505,45492,0.965818,4309,269.316935,261.269166,277.876244,6.863348,6.850564,6.876132
0.03,4KS506,45492,0.960674,4565,326.396403,317.224844,336.114085,6.977576,6.965627,6.989524
